term,frequency
laradioredondo,2
incluir,2
ambiente,2
quedo,2
pamozaec,2
bus,2
taxista,2
teatro,2
contigo,2
mando,2
patricioubidiab,2
analizamos,2
candidatura,2
formal,2
juan,2
iniciativa,2
turistico,2
casi,2
olvidado,2
sumar,2
madre,2
ilalo,2
gritar,2
alegrar,2
parqu,2
subir,2
rescatado,2
canción,2
parada,2
igual,2
personal,2
moribundo,2
encuesta,2
impuesto,2
rincón,2
contactar,2
abierto,2
estir,2
enfermo,2
carlos,2
pillarén,2
sarnar,2
medicamento,2
barrial,2
hugo,2
merced,2
desnutrido,2
comunidad,2
votare,2
mercadomayoristadequito,2
mientras,2
deberar,2
zona,2
enorme,2
moncayo,2
reunido,2
tribuna,2
todo19,2
haber,2
sdquito,2
social,2
vecinomario,1
comparti,1
caminant,1
partida,1
tanquero,1
casar,1
guerrera,1
medida,1
denuncia,1
definitivo,1
resignacion,1
jalaldubois,1
fabovillamar,1
telediarioec,1
gestionar,1
cristina,1
famoso,1
corredor,1
cielo,1
quitov,1
dolor,1
convocatoria,1
participar,1
roque,1
parir,1
lausanne,1
compra,1
indicador,1
king,1
promocion,1
ambulante,1
convertido,1
juez,1
suciedad,1
razón,1
700k,1
colombia,1
ordenar,1
turista,1
5millones,1
comprir,1
ingresar,1
peru,1
pino,1
notimundoec,1
ferias,1
invitacion,1
inauguracion,1
danny,1
cumplir,1
herencia,1
firmado,1
contrato,1
generación,1
mariapazza,1
felizviern,1
adopto,1
banda,1
0998883141,1
visite,1
rancho,1
alma,1
juvenil,1
infanto,1
despacho,1
periodo,1
veraalcivard,1
escucho,1
belmonteparaelpueblo,1
drwandradee,1
mmaldonado544,1
cruz,1
antemano,1
fuerte,1
suenir,1
sahiro,1
belmonte,1
pichincho,1
cierrir,1
drón,1
miercol,1
perritar,1
mandant,1
corchaber,1
cebrar,1
parar,1
actuan,1
envio,1
estudiante,1
socio,1
compartirl,1
suiza,1
pepetoala,1
rompar,1
perro,1
acumular,1
recolector,1
davidreinoso,1
materio,1
kattygarciam,1
porunalangasituristico,1
planteamiento,1
cathvelastegui,1
prometido,1
reiterar,1
instalación,1
recorrimo,1
deuda,1
recorrer,1
administración,1
metrodemedellin,1
mariasolcorral,1
exitoso,1
replicar,1
culturametro,1
majestadfm,1
desaparicion,1
menor,1
gastar,1
funda,1
pesimo,1
portavoz,1
patoborja,1
potable,1
srioficialec,1
gruposahiro,1
pidio,1
celebrar,1
preparabar,1
reportado,1
modelo,1
ejecuto,1
relacionamiento,1
funcionamiento,1
profundidad,1
ficogutierrez,1
medellin,1
quimioterapia,1
espejo,1
homologo,1
eugenio,1
millón,1
provincia,1
estimar,1
monitorear,1
emergencia,1
perjudicado,1
abastecer,1
preparado,1
dama,1
turno,1
normal,1
culto,1
alcaldeyundaprohibelafunda,1
gorila,1
investigador,1
descuidado,1
maximo,1
defraudaremos,1
desechabl,1
elimine,1
ilusion,1
ingenuidad,1
inhibicion,1
quiosco,1
jugar,1
visitante,1
contaminacion,1
planeta,1
solandar,1
elit,1
carlosverareal,1
limpien,1
argumento,1
masificar,1
limpiar,1
sonrien,1
senal,1
fenodis1,1
matriculado,1
entrada,1
20h00,1
placar,1
musicalatinoamericana,1
musicaec,1
quimera,1
concierto,1
noteheolvidado,1
musical,1
vivencia,1
7h30,1
amistad,1
ecanimal,1
peludito,1
impedir,1
pobre,1
corazon,1
atacarl,1
intencion,1
diente,1
gesto,1
explicandol,1
humanasecuador,1
ciclopoli,1
adornar,1
propio,1
lamentablemente,1
pequén,1
desparasitado,1
jugueton,1
meses,1
aprox,1
desbaratar,1
jota,1
news,1
fake,1
reir,1
fuerzo,1
jaja,1
saludquito,1
establecer,1
mantuvimo,1
jcarlosaizpruo,1
fiel,1
merece,1
ordenado,1
juancaholguin,1
bendiga,1
cuestión,1
quiza,1
ouishare,1
mediato,1
soynorris,1
franciscopunina,1
colectivo,1
cocho,1
ferroviario,1
tiendar,1
triunfo,1
deacnsa,1
critico,1
arrimar,1
fallir,1
dispuesto,1
rodeese,1
clasismo,1
petulante,1
leccion,1
inteligencia,1
desconocido,1
existencia,1
retome,1
caracterizo,1
gamanoticiasec,1
ticketshow,1
carta,1
cachetado,1
teniar,1
recibimo,1
ayude,1
rango,1
endeudamiento,1
diferente,1
levantar,1
copa,1
libertadores,1
optimista,1
2015,1
comicio,1
departamento,1
solucionir,1
interesar,1
partidista,1
estabilidad,1
principalmente,1
delito,1
callejero,1
uno,1
cruzar,1
rueda,1
solvente,1
mesa,1
guante,1
elgobiernodetodo,1
montana,1
medic,1
subtropical,1
verdor,1
artes,1
cortesio,1
antioquia,1
sentir,1
paralelar,1
congratulación,1
complejidad,1
tematico,1
desruralizacion,1
urbanizacion,1
intenso,1
transformación,1
profundo,1
metar,1
ponchero,1
desarrollarer,1
taxismolocal,1
cabo,1
movilizar,1
dificil,1
actualmente,1
pico,1
silvitabuendia,1
yahoo,1
temporal,1
morir,1
complicado,1
toby,1
situacion,1
completo,1
examen,1
variar,1
avance,1
inicial,1
constate,1
inaquito,1
estación,1
realizamos,1
actitud,1
crea,1
importar,1
importo,1
demuestra,1
incluyo,1
ayudes,1
dispensario,1
iessec,1
colico,1
cosecho,1
padre,1
discapacitado,1
acceso,1
facial,1
peatón,1
apto,1
pequenos,1
empezado,1
eficiencia,1
trabajaremos,1
vilana,1
javier,1
chofer,1
pesomosprofesional,1
seria,1
impreso,1
resul,1
sistir,1
6suben,1
2horo,1
medicacion,1
jajajajaja,1
difusion,1
llame,1
pabloponce,1
comunicacionalmente,1
correctivo,1
cobrar,1
facturar,1
comunicado,1
siquiera,1
desperdiciar,1
oficina,1
1800,1
quiero,1
estarar,1
asumirir,1
esfuerzo,1
fundamental,1
consenso,1
planteado,1
wilmandradir,1
id12ecuador,1
jcarreraandradir,1
letro,1
inevitable,1
santiag29616786,1
abandonar,1
dotacion,1
entonces,1
cantar,1
radionovela,1
dejandono,1
despedir,1
twitt,1
riesgo,1
rebasar,1
ciclistar,1
rapido,1
cao,1
ciclista,1
jamas,1
cancion,1
estacionir,1
animales,1
whatsapp,1
0958919237,1
estresar,1
retriever,1
jeronimomeneses,1
remuneracion,1
digno,1
confiar,1
grave,1
comuniquense,1
ley,1
quitonoesmercado,1
comprare,1
desechos,1
lojo,1
vivi,1
clasificar,1
reciclar,1
contribuir,1
pizza,1
rato,1
retomen,1
musicplusevents,1
quiebre,1
conciencia,1
abogado,1
aiarconsalvador,1
cesarzumarragar,1
jcarlosaizprua,1
pablolopezcoto,1
belentorresx,1
0979390630,1
0999580632,1
amig,1
rodillorojo,1
reto,1
vacio,1
deporte,1
danza,1
fernandocarrionm,1
atacamestonic,1
criterio,1
necesitamos,1
insalubridad,1
provocar,1
convertir,1
contradictorio,1
ventar,1
precioso,1
adopte,1
madrugada,1
americano,1
embajado,1
ferio,1
repita,1
desenlacir,1
fundado,1
organizo,1
feria,1
escogido,1
guion,1
superacion,1
crisis,1
estable,1
justiciavial,1
elemento,1
atropellado,1
amtquito,1
fiscalizador,1
funcionario,1
loable,1
hombro,1
saldrer,1
especial,1
pedroor54721853,1
0998313515,1
0985342537,1
lumbisi,1
reciente,1
perder,1
jager,1
dingo,1
compania,1
orgulloso,1
siento,1
peligro,1
pedro,1
desamor,1
vender,1
implementar,1
podriar,1
aerea,1
canado,1
paxs,1
plaza,1
restaurant,1
2010,1
acertado,1
comercializar,1
transparencia,1
reporte,1
pactado,1
requerimiento,1
informamos,1
cmontoyaviteri,1
calzado,1
arreglo,1
posible,1
obrasquito,1
pertinencia,1
fuga,1
yundastyle,1
buscarer,1
rumbo,1
ritual,1
organización,1
ansestral,1
simbolico,1
elconde4,1
permitirno,1
dirigir,1
revistaplanv,1
viral,1
minuto,1
andino,1
baila,1
caminata,1
ayni,1
mimado,1
novia,1
descanso,1
recibio,1
fenocin,1
felizmart,1
purificacion,1
participo,1
viento,1
indigena,1
campesino,1
jornada,1
kevin,1
diegocastro,1
etapa,1
inicio,1
radiaciontemprana,1
despedida,1
quelafuerzateacompane,1
volar,1
permitirar,1
popular,1
acreditar,1
credencial,1
entrega,1
ciudadanos,1
honestidad,1
gobernante,1
mantaya,1
posesiono,1
choclar,1
tallado,1
entrego,1
lenar,1
4511647,1
porfavooor,1
disculpe,1
encontre,1
implemente,1
patronato,1
fortalezca,1
llumiquingo,1
gloria,1
lcda,1
ayoro,1
isidro,1
maternidad,1
companera,1
lahoraecuador,1
embarazo,1
derechosquito,1
proximo,1
patrimonioyc,1
sportv,1
presidirar,1
moya,1
veronico,1
sybelmartinez,1
acompane,1
conformado,1
familiar,1
adolescente,1
lobo,1
0998853022,1
indispensable,1
campestre,1
caracter,1
reflexionar,1
cuarteado,1
eljardinalado,1
vall,1
conservacion,1
increible,1
manso,1
0987422550,1
deseado,1
muchisimo,1
agradecerio,1
villavegar,1
churo,1
corto,1
pelaje,1
poodle,1
french,1
podar,1
reconstruccion,1
anticorrupcion,1
presidente,1
ingl,1
hincha,1
alertamos,1
innovacion,1
traer,1
infraestructura,1
impulsar,1
basico,1
concentrar,1
permitir,1
envergadurar,1
alianza,1
moral,1
inescrupulós,1
telmo,1
gmail,1
crizz2372,1
correo,1
formulario,1
solicite,1
andr,1
cinco,1
cachorritos,1
molestia,1
opinion,1
utilizar,1
mancomunado,1
manifestado,1
manifiesta,1
resaltar,1
liderar,1
constituir,1
especialmente,1
arquitectura,1
espiritualidad,1
rescatar,1
suceder,1
informar,1
sesión,1
engano,1
presentado,1
presentar,1
gasto,1
predio,1
progresar,1
mision,1
peor,1
patrimonioquito,1
shababaty,1
skueffner,1
referente,1
asesoria,1
coker,1
coordinar,1
eveandraded,1
rortegariofrio,1
sampedro,1
tati,1
agosto,1
nellairigoir,1
chao,1
activo,1
urge,1
lideramo,1
octaedro,1
coincidencia,1
mantar,1
activistas,1
1938,1
cuna,1
mineducacion,1
kermés,1
vuelir,1
recalco,1
diverso,1
gremio,1
vue,1
faltar,1
tamano,1
sandi,1
cuadra,1
ayudamos,1
agustinintriago,1
manta,1
demustra,1
ruilova,1
carolina,1
titular,1
regresen,1
jumpingjunkies,1
andressantós,1
selfie,1
martes,1
arbolito,1
internationalnewsreporter,1
univisionny,1
sitial,1
reunio,1
constructor,1
criticarme,1
caacosta1962,1
falto,1
patricioalarco2,1
directorioccq,1
compromete,1
iglesia,1
implementacion,1
manejo,1
tecnologica,1
apoyare,1
placer,1
asolo,1
vegas,1
tokio,1
berlin,1
york,1
constante,1
ecuavoley,1
atraer,1
acuerdo,1
enamoratedequitir,1
cupular,1
fuente,1
comparta,1
complacido,1
llenir,1
apertura,1
info,1
ichthion,1
recolectar,1
afectar,1
costa,1
tutorial,1
solventarlos,1
trabajara,1
aquejar,1
cerca,1
arduamente,1
combate,1
firme,1
apostar,1
amchamquito,1
inaugurar,1
informo,1
correspondiente,1
coordinacion,1
extender,1
competitividad,1
enfocar,1
terremoto,1
invito,1
amchamec,1
camar,1
dios,1
precavido,1
convocar,1
organizar,1
pugna,1
naci,1
tuit,1
bajo,1
seguros,1
soyhemisferio,1
reflexion,1
har,1
genere,1
muchisima,1
conoceatuscandidato,1
ingreso,1
foro,1
marco,1
mestizaje,1
reflejo,1
discriminar,1
batalla,1
entusiasmo,1
sensibilizar,1
optimismo,1
efecto,1
asamblear,1
millonario,1
siyofueraalcalde,1
corbata,1
proteger,1
animanaturali,1
telefono,1
animo,1
entrar,1
valiente,1
0987838596,1
quitenizado,1
enriquepenalosa,1
formar,1
miralo,1
mega,1
jajajar,1
asueto,1
puntoelectoral,1
aplico,1
haremos,1
transformado,1
lider,1
continuar,1
machangaro,1
recuperar,1
surte,1
plancha,1
pionero,1
0960766666,1
reubicarl,1
oscarhoyos19,1
camaracomerbog,1
veredar,1
vendedor,1
implicar,1
necesidades,1
enriquez,1
panchito,1
shih,1
0987556324,1
1995,1
0992763992,1
ayudano,1
ayud,1
migo,1
concuerdar,1
capaz,1
ablado,1
acercamiento,1
corrido,1
trabajador,1
erradicar,1
quitenar,1
mantuvimos,1
confiscara,1
elnortegrandeotravez,1
atractivo,1
cuarto,1
academico,1
preparacion,1
allo,1
mercadodelfuturo,1
jorgeyundaalcalde19,1
soldado,1
huir,1
quitoturisticootravez,1
gabyquirogaconcejal2019,1
educativo,1
educacion,1
existente,1
repotenciar,1
punto,1
extracto,1
informal,1
comerciante,1
mercaderio,1
parolerosec,1
complementario,1
usar,1
ralvarezw,1
lanzar,1
carioca,1
boca,1
alcaldiar,1
felizferiadodecarnaval,1
caluroso,1
quitocanta2019,1
empuje,1
crecido,1
venga,1
asusta,1
monitoreo,1
consulta,1
enfermita,1
anos,1
vicentín,1
floresta,1
revisa,1
nocomascuento,1
atribuir,1
frase,1
encontro,1
estandar,1
emboscar,1
jorgeyunda,1
erradicacion,1
escritorio,1
territorio,1
periferico,1
calderon,1
profecional,1
conductor,1
bendición,1
aspecto,1
existo,1
semán,1
atucucho,1
actualidad,1
cochabamba,1
arriba,1
quitosensibleotravez,1
terreno,1
insensibilidad,1
basuro,1
cero,1
inteligente,1
tecnologico,1
posta,1
tras,1
pirotecnia,1
aprendar,1
saqu,1
naturaleza,1
aunque,1
ojo,1
inocente,1
escaso,1
tantoas,1
bastar,1
trayectoria,1
alcaldedequito,1
humanos,1
estrechar,1
ayudara,1
supercines1,1
peludo,1
ofrecimiento,1
sorbet,1
papel,1
envase,1
politicostaurinosnuncama,1
dormir,1
posterior,1
federacion,1
ligas,1
beneficiar,1
igualdad,1
teta,1
poderoso,1
clase,1
encarecidamente,1
haberl,1
perdonar,1
aplicar,1
dano,1
correspondar,1
cumplar,1
artimana,1
corrupto,1
ascenso,1
preocupado,1
desesperacion,1
multitudinario,1
demagogia,1
hez,1
cabildo,1
fecal,1
condiciones,1
trabajams,1
centrar,1
cochapamba,1
recorte,1
adversidad,1
vencer,1
elshafadj,1
cliente,1
finanza,1
banco,1
exxondj,1
consideracion,1
retweet,1
serdotado,1
debido,1
luchador,1
acompananos,1
agenda,1
aooyar,1
diablado,1
baile,1
reservado,1
magia,1
mezclar,1
animalgp,1
manana,1
representante,1
canelaradioec,1
artistas,1
mirada,1
agradecido,1
cuidarer,1
distritonortar,1
juanmanuelaguirreconcejal,1
pronta,1
pichincha,1
piso,1
segundo,1
4pata,1
24demarzo,1
cantidad,1
entender,1
agradecimiento,1
puro,1
sincero,1
aprecio,1
jefe,1
dire,1
preguntado,1
documental,1
marcar,1
dele,1
pata,1
cuatro,1
desfile,1
quitoseguraotravez,1
sitio,1
defender,1
mariscaleno,1
rosa,1
cosmopolita,1
turistica,1
antano,1
luckylisto,1
anniecanizar,1
panoramatvn,1
tolerar,1
bandera,1
regulado,1
pana,1
arreglaremos,1
controlar,1
dificultar,1
publicidad,1
cargo,1
respaldar,1
arreglarer,1
desconocer,1
residente,1
gastronomia,1
tradición,1
potencial,1
diablada,1
josuesanchezec,1
masoltrujillo1,1
silvitabuendiar,1
muirragui,1
danielar,1
593992912893,1
comunicar,1
sepa,1
tratamiento,1
guasmo,1
nochero,1
felizdomingo,1
cayambe,1
bando,1
tropi,1
kalisimo,1
10hoo,1
mariscal,1
pán,1
elijo,1
totalment,1
ejemplar,1
sanción,1
distritonor,1
preparar,1
gato,1
tendrar,1
distritosurdequito,1
promovido,1
vamosaganar,1
decision,1
santy,1
angello,1
angellobarahonar,1
eldelquitir,1
exitosamente,1
dialogar,1
0988613701,1
creador,1
generador,1
cooperativo,1
alternativa,1
detractor,1
productividad,1
efectivo,1
puruhir,1
documentacion,1
aquel,1
reciba,1
santillar,1
inmobiliario,1
oferta,1
ayudenme,1
infraestructuro,1
mejoraremo,1
aparecer,1
guaguascentro,1
construccion,1
lizzfarfan,1
destinar,1
ayudame,1
nina,1
desaparecio,1
grupos,1
valioso,1
riobambar,1
mario,1
link,1
iir,1
flor,1
sarah,1
país,1
funcionado,1
habran,1
slds,1
cumplo,1
tributario,1
promoverar,1
tonelada,1
producir,1
albany,1
inmigrante,1
conducir,1
licencia,1
aprobacion,1
cuchito1940,1
peaje,1
arenal,1
recuerdo,1
fxcarrion,1
cooperir,1
venta,1
ferbustamanteg,1
activista,1
interpetir,1
compositor,1
maltratado,1
ciudadana,1
traves,1
incentivo,1
permitiran,1
fer1975julio,1
entrepana,1
danar,1
secuestrar,1
conmemoramos,1
ultimo,1
lucha,1
afectado,1
aledana,1
comuna,1
resolver,1
inguir,1
pifo,1
equidad,1
rellenosanitario,1
informado,1
generara,1
dedicarme,1
ofrecerme,1
precioparacompartir,1
generacion,1
amparitonarvaezconcejal,1
ecuavisainforma,1
conocerte,1
emprender,1
beneficiarar,1
prefecturadepichincho,1
pleno,1
honradamente,1
agilitar,1
ayudeno,1
solicitar,1
permiso,1
detenido,1
negocio,1
noviembre,1
sanciir,1
silencioelectoralec,1
xaguilarv,1
